date,id,sent_neg,sent_neu,sent_pos,sent_comp,topic_freq,topic_density
2018-12-29 05:12:28,2902293341556477456,0.074,0.808,0.118,0.5168,0.0,0.0
2018-12-29 05:12:38,320957400675384636,0.023,0.887,0.091,0.7397,0.0,0.0
2018-12-29 05:12:48,369980326383825028,0.021,0.913,0.065,0.4657,0.0,0.0
2018-12-29 05:12:58,2259787690212380777,0.018,0.885,0.097,0.7453,0.0,0.0
2018-12-29 05:22:27,7922553279037481033,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-29 05:23:18,4353400358114200745,0.031,0.857,0.112,0.9728,1.0,0.005813953488372093
2018-12-29 05:27:44,3212182638792894203,0.049,0.756,0.195,0.9989,4.0,0.01
2018-12-29 05:30:00,4099968575141264864,0.026,0.871,0.103,0.9028,2.0,0.020202020202020204
2018-12-29 05:30:33,4886973243107435637,0.024,0.786,0.189,0.9972,0.0,0.0
2018-12-29 05:32:12,8910521276080858677,0.053,0.844,0.103,0.652,0.0,0.0
2018-12-29 05:32:23,315695024350375539,0.018,0.844,0.139,0.8842,0.0,0.0
2018-12-29 05:32:33,1342126259377633831,0.017,0.864,0.118,0.853,0.0,0.0
2018-12-29 05:32:43,8263992070044603973,0.019,0.924,0.057,0.4657,0.0,0.0
2018-12-29 05:32:53,7516367065955159656,0.041,0.835,0.123,0.7807,0.0,0.0
2018-12-29 05:33:14,5873549603723222480,0.043,0.82,0.137,0.7375,0.0,0.0
2018-12-29 05:33:24,7466371189526315881,0.044,0.884,0.072,0.2335,0.0,0.0
2018-12-29 05:33:34,3972503069888389887,0.043,0.852,0.105,0.6838,0.0,0.0
2018-12-29 05:33:58,6340770526537363803,0.044,0.842,0.114,0.9979,1.0,0.001669449081803005
2018-12-29 05:34:00,1633715865904750573,0.058,0.905,0.037,-0.7906,0.0,0.0
2018-12-29 05:43:35,7823183787194158975,0.037,0.86,0.102,0.9782,3.0,0.008771929824561403
2018-12-29 05:47:01,8667808338801112135,0.056,0.853,0.09,0.995,5.0,0.005213764337851929
2018-12-29 05:52:08,3187681835244345394,0.027,0.858,0.115,0.6529,0.0,0.0
2018-12-29 05:52:18,4267674155619518869,0.027,0.858,0.115,0.6529,0.0,0.0
2018-12-29 05:52:28,489343141555725521,0.028,0.886,0.086,0.4657,0.0,0.0
2018-12-29 05:52:39,3315087840905778723,0.026,0.895,0.079,0.4657,0.0,0.0
2018-12-29 05:52:49,3832033014616215504,0.026,0.895,0.079,0.4657,0.0,0.0
2018-12-29 05:52:59,5046194781800236718,0.027,0.858,0.115,0.6529,0.0,0.0
2018-12-29 06:00:00,1275649459634420778,0.084,0.855,0.061,-0.9814,1.0,0.0016286644951140066
2018-12-29 06:00:00,7314831092117167802,0.047,0.815,0.138,0.9997,1.0,0.0006578947368421052
2018-12-29 06:00:00,7275946444520758513,0.133,0.74,0.127,-0.9804,1.0,0.0006925207756232687
2018-12-29 06:12:08,7404917666879807636,0.017,0.882,0.101,0.809,0.0,0.0
2018-12-29 06:12:18,1807668156333739349,0.028,0.886,0.086,0.4657,0.0,0.0
2018-12-29 06:12:29,3328541354489324120,0.025,0.842,0.133,0.7534,0.0,0.0
2018-12-29 06:32:02,5097232820327837129,0.021,0.93,0.049,0.9348,3.0,0.008264462809917356
2018-12-29 06:32:06,4851280916380825358,0.028,0.886,0.086,0.4657,0.0,0.0
2018-12-29 06:32:16,1906934903192811464,0.02,0.877,0.104,0.7529,0.0,0.0
2018-12-29 06:32:26,1298915698919991876,0.027,0.858,0.115,0.6529,0.0,0.0
2018-12-29 06:32:37,4158929477898250496,0.025,0.9,0.075,0.4657,0.0,0.0
2018-12-29 06:32:47,227203667181880716,0.026,0.875,0.099,0.5629,0.0,0.0
